User,afinn_score,FPPR,happiness_rank_score,happiness_average_score,happiness_standard_deviation_score,twitter_rank_score,google_rank_score,nyt_rank_score,lyrics_rank_score,parse_tree_height,max_verb_phrase_length,fpp_count,number_of_sentences,number_of_definite_articles,other_pronoun_count
user-0,-1.1818181818181819,0.0,5461.290322580645,5.288064516129032,1.171006451612903,391.60504201680675,466.86206896551727,544.1016949152543,524.5546218487395,3.5454545454545454,2,2,10,2,15
user-1,0.028708133971291867,40.54054054054054,5118.062680810029,5.4119093539054965,1.1650121022179363,411.08266932270914,438.07379518072287,532.4166241713411,403.85455460493205,4.042944785276074,2,58,138,45,289
user-2,0.525,80.0,5148.436403508772,5.409605263157895,1.1531440789473684,365.233995584989,432.3758700696056,477.86046511627904,370.60090702947844,5.12,2,21,24,14,53
user-3,0.16049382716049382,96.42857142857143,4903.928066037736,5.472783018867925,1.1782183962264152,384.45588235294116,460.6936274509804,541.6662515566625,401.8076923076923,4.338709677419355,2,69,54,18,84
user-4,0.6296296296296297,55.55555555555556,4587.260204081633,5.552653061224488,1.1808127551020409,427.0425531914894,736.8473684210526,678.7277777777778,426.4216216216216,3.65,2,16,19,2,20
user-5,0.2591240875912409,50.81967213114754,5018.440566037736,5.440768867924528,1.1762460849056604,323.32454458293387,524.913810483871,526.2702564102564,385.2844036697248,4.254545454545455,2,113,169,35,350
user-6,0.8455284552845529,52.94117647058824,4821.0952380952385,5.508506069094305,1.1890262371615312,342.57824427480915,511.2938816449348,482.8583162217659,366.1386233269599,3.4583333333333335,2,35,102,20,156
user-7,0.4720812182741117,48.275862068965516,5014.9011689691815,5.457582359192347,1.1761193411264614,345.76508620689657,434.49231644849175,460.33066361556064,359.3171397379913,4.25,3,75,131,37,234
user-8,0.6230769230769231,79.66101694915254,5031.636990235497,5.47834577828834,1.1429313612866168,508.52184927169094,600.3195997645674,656.4925834363412,525.5171537484117,6.681159420289855,2,95,62,81,157
user-9,0.5,100.0,5456.957983193277,5.326218487394958,1.1376453781512603,373.10169491525426,591.0183486238532,532.0275229357799,378.6216216216216,3.8,2,8,11,3,10
user-10,-0.8571428571428571,40.0,5332.608108108108,5.249459459459459,1.1987716216216218,243.69444444444446,403.04477611940297,611.9859154929577,313.01408450704224,2.4545454545454546,1,6,10,0,10
user-11,0.8333333333333334,40.0,4668.306603773585,5.556650943396226,1.2163014150943396,419.5769230769231,495.17676767676767,508.7886597938144,439.615763546798,2.676470588235294,3,11,34,2,34
user-12,0.0,41.66666666666667,4430.442105263158,5.594526315789473,1.160847368421053,272.05263157894734,323.5869565217391,294.0,244.55913978494624,3.4444444444444446,1,16,10,1,10
user-13,-0.05913978494623656,74.4186046511628,4880.557533375715,5.451964399237125,1.1890733630006356,426.1407506702413,524.7445504087193,584.2042936288088,444.21634615384613,3.2560975609756095,2,72,176,23,230
